Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output 1W32B1R.log,,,,Date:,12 Jun 2015 18:30:52 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
96.734,0,3.266,0,0,0,0,98304,0,0,0,0,1029,774
90.796,0.995,8.209,0,0,0,0,0,0,0,0,0,998,755
95.75,0.5,3.75,0,0,0,0,0,138,543,0,0,1011,790
95.75,1,3.25,0,0,0,0,0,322,3079,0,0,1013,776
95.98,0.503,3.518,0,0,0,0,49152,0,0,0,0,1026,747
88.693,0.503,10.804,0,0,0,0,0,138,543,0,0,981,762
85.533,2.284,9.898,1.523,0,0.761,1810432,0,470,854,0,0,1448,1205
37.121,2.02,57.071,3.788,0,0,3629056,0,470,854,0,0,1504,1384
24.81,1.519,70.886,2.785,0,0,2359296,0,92,543,0,0,1575,1555
80.526,1.842,17.105,0.526,0,0,417792,0,0,0,0,0,1562,1825
69.598,5.779,13.065,10.804,0,0.754,18595840,114688,54908,31541,0,0,1823,1982
90.977,2.256,0,6.516,0,0.251,32768000,237568,92,543,0,0,1534,1264
95.5,1.75,2.5,0,0,0.25,8912896,0,0,0,0,0,1231,1138
96.465,1.01,2.273,0,0,0.253,5242880,0,322,3079,0,0,1187,1162
95.274,0.995,3.483,0,0,0.249,5242880,0,144,909,0,0,1160,1069
92.481,1.003,6.516,0,0,0,4194304,147456,0,0,0,0,1137,1088
95.477,1.005,0,3.518,0,0,2359296,4448256,0,0,0,0,1122,1000
95.025,0.746,3.483,0,0,0.746,9437184,1507328,92,543,0,0,1202,1098
94.975,0.754,4.271,0,0,0,5242880,0,0,0,0,0,1117,1036
94.236,0.501,4.762,0.251,0,0.251,5242880,0,0,0,0,0,1118,1034
93.267,1.746,4.988,0,0,0,4980736,0,144,699,0,0,1116,1069
96.222,0.504,3.275,0,0,0,5242880,65536,0,0,0,0,1123,1071
94.25,2,3.75,0,0,0,5390336,0,46,0,0,0,1176,1118
95.477,1.005,3.266,0,0,0.251,6029312,0,414,3622,0,0,1143,1077
91.96,0.754,7.035,0,0,0.251,4784128,0,0,0,0,0,1095,1013
95.25,0.5,4.25,0,0,0,5275648,0,46,0,0,0,1107,1030
95.729,0.251,4.02,0,0,0,5242880,0,92,543,0,0,1097,1027
94.25,0.75,4.75,0,0,0.25,5505024,40960,0,0,0,0,1124,1045
92.695,0.504,6.801,0,0,0,4980736,0,0,0,0,0,1094,1004
94,1,5,0,0,0,4718592,0,144,909,0,0,1109,1049
95.98,0,4.02,0,0,0,5505024,0,0,0,0,0,1126,1048
95.75,0.75,3.25,0.25,0,0,4980736,0,0,0,0,0,1107,1026
93.5,1.5,4.75,0,0,0.25,6291456,0,92,543,0,0,1141,1092
92.982,0.501,6.015,0.251,0,0.251,4718592,24576,322,3079,0,0,1120,1043
96.482,0.251,3.015,0.251,0,0,5767168,0,0,0,0,0,1131,1027
96,0.5,3.5,0,0,0,4980736,0,92,543,0,0,1149,1013
93.484,0.251,6.015,0,0,0.251,4718592,0,0,0,0,0,1138,1077
92.269,0.998,6.733,0,0,0,5505024,0,0,0,0,0,1151,1057
95.99,0.752,3.258,0,0,0,5242880,24576,92,543,0,0,1170,1036
95.5,0.75,3.75,0,0,0,4980736,0,0,0,0,0,1143,1041
93.451,1.511,5.038,0,0,0,5242880,0,0,0,0,0,1158,1074
90.977,2.005,6.767,0,0,0.251,4980736,114688,92,543,0,0,1154,1070
95.75,0.25,3.25,0.5,0,0.25,5242880,0,46,0,0,0,1144,1032
95.75,0.25,3.75,0,0,0.25,5242880,73728,322,3079,0,0,1167,1021
94.737,1.003,4.261,0,0,0,5242880,0,144,909,0,0,1151,993
90.727,1.253,8.02,0,0,0,4456448,0,46,0,0,0,1127,1015
94.25,2.25,3.5,0,0,0,6029312,163840,0,0,0,0,1272,1082
95.729,1.005,3.266,0,0,0,5242880,0,92,543,0,0,1145,1034
95.012,1.247,3.741,0,0,0,5242880,0,0,0,0,0,1134,988
90.977,0.752,8.271,0,0,0,5242880,24576,0,0,0,0,1151,1033
95.771,0.746,3.483,0,0,0,4980736,0,92,543,0,0,1150,1020
95.75,0.5,3.75,0,0,0,4857856,0,0,0,0,0,1137,975
96.725,0.252,3.023,0,0,0,2498560,0,0,0,0,0,1079,947
92.443,0.756,6.801,0,0,0,139264,0,414,3622,0,0,1041,828
96.03,0.248,3.722,0,0,0,0,0,0,0,0,0,1026,745
96.758,0,3.242,0,0,0,0,24576,0,0,0,0,1046,747
93.233,0.251,6.516,0,0,0,0,8192,92,543,0,0,1026,774
90.75,1.5,7.75,0,0,0,0,0,0,0,0,0,1014,752
78.392,0.251,21.357,0,0,0,0,0,0,0,0,0,926,704
25.758,0,74.242,0,0,0,0,0,144,909,0,0,628,554
95.238,0.752,4.01,0,0,0,0,0,0,0,0,0,1152,949
98,0.5,1.5,0,0,0,0,40960,0,0,0,0,1061,748
97,0.75,2.25,0,0,0,0,0,138,543,0,0,1044,817
94.236,1.003,4.01,0.752,0,0,2392064,0,557,3555,0,0,1125,942
95.522,1.99,2.488,0,0,0,2195456,0,14255,9052,0,0,1196,1052
86.329,4.81,3.797,4.304,0,0.759,34283520,0,41003,23439,0,0,1636,1537
94.724,1.256,3.518,0.251,0,0.251,17678336,6111232,0,0,0,0,1368,1167
96.992,0.501,2.256,0,0,0.251,5767168,270336,0,0,0,0,1191,1120
94.514,0.748,4.738,0,0,0,5767168,0,92,543,0,0,1175,1102
96.25,0.75,3,0,0,0,5767168,0,0,0,0,0,1177,1039
96.259,0.499,3.242,0,0,0,4980736,0,0,0,0,0,1147,1075
94.264,1.496,3.99,0,0,0.249,5505024,0,92,543,0,0,1157,1080
93.017,0,6.983,0,0,0,4980736,0,0,0,0,0,1156,1096
95.226,0.503,4.271,0,0,0,4718592,32768,322,3079,0,0,1192,1150
95.489,0.501,4.01,0,0,0,5242880,0,144,909,0,0,1137,1057
95.25,1,3.75,0,0,0,5242880,0,52,156,0,0,1146,1059
90.932,0.504,8.564,0,0,0,6029312,0,0,0,0,0,1154,1081
95.761,0.249,3.99,0,0,0,6070272,0,92,543,0,0,1159,1070
96.75,0.25,2.5,0.5,0,0,5275648,24576,0,0,0,0,1145,1059
95.466,1.008,3.275,0.252,0,0,5529600,0,0,0,0,0,1139,1009
91.436,1.259,7.305,0,0,0,4472832,0,92,543,0,0,1102,1015
82.915,0.251,16.834,0,0,0,4980736,0,0,0,0,0,1035,876
25.063,0.506,74.43,0,0,0,0,0,46,0,0,0,599,510
82.206,0.501,17.043,0,0,0.251,4456448,0,414,3622,0,0,1080,1021
98.005,0,1.995,0,0,0,5767168,24576,0,0,0,0,1160,1064
96.734,1.256,2.01,0,0,0,4718592,0,46,0,0,0,1143,1051
