Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
10.123,1.975,86.914,0.988,0,0,147456,319488,2364,3424,0,0,884,1097
40.15,1.247,57.606,0.499,0,0.499,196608,0,59380,8143,0,0,1139,1217
30.273,2.73,66.749,0,0,0.248,0,0,63688,10313,0,0,1153,1308
33.985,1.711,64.303,0,0,0,0,0,76302,6858,0,0,1098,1166
21.429,1.478,77.094,0,0,0,0,0,52797,7667,0,0,1046,1123
37.656,2.244,57.606,1.746,0,0.748,1941504,475136,144616,15758,0,0,1744,1933
49.257,3.218,42.327,4.703,0,0.495,4087808,0,65807,8315,0,0,2435,2363
37.94,6.784,50.754,3.518,0,1.005,3448832,0,58722,8480,0,0,2013,2318
30.848,2.828,62.211,3.856,0,0.257,3325952,0,39464,4708,0,0,2052,1970
42.857,5.357,46.684,4.082,0,1.02,4112384,0,70621,7540,0,0,2564,2230
42.929,3.788,50.758,2.273,0,0.253,3309568,294912,63727,7024,0,0,2127,1867
37.653,4.89,55.257,1.467,0,0.733,2236416,0,47446,5931,0,0,1727,1579
52.152,4.304,41.772,0.759,0,1.013,1024000,0,76890,338322,0,0,2107,1787
46.535,6.188,46.04,0,0,1.238,0,0,100250,420668,0,0,2079,2259
23.902,1.463,74.146,0,0,0.488,0,0,70899,7335,0,0,1117,1110
46.076,3.797,49.367,0,0,0.759,0,122880,106026,375340,0,0,2026,2592
14.563,1.699,83.01,0,0,0.728,0,0,44577,5332,0,0,1016,1090
21.106,1.759,76.382,0,0,0.754,0,0,72719,6711,0,0,1061,1094
22.772,1.485,74.752,0,0,0.99,0,0,69131,15434,0,0,1181,1146
13.466,0.249,85.786,0,0,0.499,0,0,44918,6087,0,0,999,1043
48.166,2.445,46.699,1.467,0,1.222,0,835584,122091,347763,0,0,2200,2274
21.914,1.008,77.078,0,0,0,0,0,65881,8087,0,0,1101,1205
23.737,1.515,74.495,0,0,0.253,0,0,75252,9580,0,0,1090,1159
23.153,1.97,74.877,0,0,0,0,0,72945,8818,0,0,1113,1126
21.106,1.759,77.136,0,0,0,0,0,74834,8424,0,0,1130,1143
43.434,4.293,50.253,0,0.253,1.768,0,172032,118659,469922,0,0,2175,2242
21.429,1.232,77.34,0,0,0,0,0,64111,6774,0,0,1099,1128
14.217,1.928,83.614,0,0,0.241,0,0,39991,5251,0,0,980,1055
14.464,1.496,83.541,0,0,0.499,0,0,52642,5098,0,0,1016,1038
13.716,0.998,84.539,0,0,0.748,0,0,49269,4786,0,0,965,1014
39.756,3.171,56.098,0,0,0.976,0,98304,106828,317943,0,0,1849,1929
19.363,1.471,78.676,0,0,0.49,0,0,59716,7570,0,0,1115,1118
28.889,2.963,67.901,0,0,0.247,0,0,97327,9553,0,0,1212,1136
18,1.5,80,0,0,0.5,0,0,62424,8555,0,0,1090,1141
13.25,0.75,85.25,0,0,0.75,0,0,46466,5229,0,0,963,1006
36.919,3.912,57.946,0,0,1.222,0,122880,105837,398136,0,0,1909,1890
20.647,1.741,76.866,0,0,0.746,0,0,72869,7098,0,0,1074,1132
21.588,1.489,76.675,0,0,0.248,0,0,76130,7229,0,0,1140,1119
30.221,1.229,68.059,0,0,0.491,0,0,106523,7959,0,0,1203,1095
22.388,2.239,74.876,0,0,0.498,0,0,73330,10324,0,0,1191,1209
49.383,3.704,45.679,0,0,1.235,0,90112,146381,465236,0,0,2165,1941
19.949,1.01,78.283,0,0,0.758,0,0,60611,8689,0,0,1127,1190
14.951,1.225,83.824,0,0,0,0,0,45053,7469,0,0,992,1056
21.287,0.743,77.475,0,0,0.495,0,0,73293,6633,0,0,1142,1108
18.859,0.993,79.653,0,0,0.496,0,0,66749,6555,0,0,1071,1066
45.025,3.234,49.005,0.249,0,2.488,262144,98304,127566,411543,0,0,2107,2171
21.805,0.501,77.193,0,0,0.501,0,0,74611,7492,0,0,1168,1192
23.002,2.421,74.334,0,0,0.242,0,0,76883,8948,0,0,1190,1126
23.192,1.247,75.062,0,0,0.499,0,0,67894,7176,0,0,1098,1108
23.227,1.222,75.061,0,0,0.489,0,0,75826,8324,0,0,1121,1087
42.278,4.81,51.899,0,0,1.013,0,442368,116251,454454,0,0,2157,2064
14.861,0.252,84.635,0,0,0.252,0,0,53033,6187,0,0,1047,1077
18.919,1.966,78.624,0,0,0.491,0,0,63477,9996,0,0,1108,1151
17.164,2.488,79.851,0,0,0.498,0,0,65314,7413,0,0,1102,1083
21.687,1.446,76.867,0,0,0,0,0,61006,7098,0,0,1058,1097
41.75,4,53.25,0,0,1,0,327680,135300,372636,0,0,2119,1924
20.293,1.222,78.484,0,0,0,0,0,64707,8480,0,0,1115,1127
24.634,0.976,73.659,0,0,0.732,0,0,77589,9335,0,0,1190,1160
16.373,1.008,82.116,0,0,0.504,0,0,61508,7569,0,0,1044,1068
16.169,1.244,82.587,0,0,0,0,0,54844,6321,0,0,998,1049
34.988,3.226,60.546,0,0,1.241,0,229376,110463,436612,0,0,2085,1971
17.488,0.985,81.527,0,0,0,0,0,59751,7526,0,0,1084,1127
23,1.75,74.5,0,0,0.75,0,0,82773,9683,0,0,1183,1115
14,0.75,85,0,0,0.25,0,0,48779,5954,0,0,1002,1090
18.428,1.229,80.344,0,0,0,0,0,60618,7388,0,0,1054,1066
39.702,3.474,55.087,0,0,1.737,0,73728,129755,387267,0,0,1962,2031
17.122,2.233,80.149,0,0,0.496,0,0,60716,8633,0,0,1080,1097
19.363,0.49,80.147,0,0,0,0,0,56789,6477,0,0,1033,1044
13.131,0.758,86.111,0,0,0,0,0,46637,5488,0,0,1003,994
26.25,1.5,71.75,0,0,0.5,0,0,98522,8736,0,0,1238,1109
34.491,4.467,59.801,0,0,1.241,0,90112,114638,439232,0,0,2108,2030
18.765,1.235,80,0,0,0,0,0,62673,6789,0,0,1082,1086
23.25,2.25,74.5,0,0,0,0,0,81596,9134,0,0,1217,1191
19.652,1.244,78.607,0,0,0.498,0,0,71010,9077,0,0,1118,1138
19.849,1.005,78.894,0,0,0.251,0,0,73361,7725,0,0,1077,1043
39.259,4.444,54.321,0,0,1.975,0,32768,120676,443139,0,0,2197,2067
16.296,0.988,82.716,0,0,0,0,0,56327,6165,0,0,1049,1067
24.752,0.99,73.762,0,0,0.495,0,0,83715,7309,0,0,1176,1082
16.749,0.985,82.266,0,0,0,0,0,56244,7514,0,0,1068,1111
21.359,1.456,76.456,0,0,0.728,0,0,66828,7232,0,0,1075,1104
33.083,3.258,61.905,0,0,1.754,0,90112,104785,404146,0,0,1945,1874
19.549,2.256,77.694,0,0,0.501,0,0,76258,7956,0,0,1114,1134
17.544,1.253,81.203,0,0,0,0,0,60994,8461,0,0,1103,1137
17.618,1.985,79.901,0,0,0.496,0,0,70136,6555,0,0,1079,1063
16.79,1.728,81.481,0,0,0,0,0,58991,7020,0,0,1054,1086
35.949,2.785,58.734,0.253,0,2.278,0,90112,119140,379940,0,0,1895,1822
16.79,0.247,82.716,0,0,0.247,0,0,55913,6399,0,0,1016,1054
21.655,1.946,75.426,0,0,0.973,0,0,68903,8633,0,0,1144,1167
21.951,1.22,76.098,0,0,0.732,0,0,76261,7257,0,0,1150,1077
20.976,0.976,77.805,0,0,0.244,0,0,72525,6867,0,0,1086,1074
38.481,3.291,55.949,0,0,2.278,0,360448,126626,423365,0,0,2087,2087
17.488,1.232,80.788,0,0,0.493,0,0,60243,7570,0,0,1072,1115
23.116,1.508,75.126,0,0,0.251,0,0,82625,10438,0,0,1222,1179
19.012,1.235,79.753,0,0,0,0,0,66168,9960,0,0,1131,1124
16.04,1.504,82.456,0,0,0,0,0,59353,7700,0,0,1052,1073
35.821,2.985,59.701,0,0,1.493,0,253952,105023,436259,0,0,2126,2093
24.146,1.463,74.39,0,0,0,0,0,82629,7774,0,0,1187,1158
20.347,0.993,78.412,0,0,0.248,0,0,67700,7492,0,0,1113,1094
23.762,1.485,74.257,0,0,0.495,0,0,89121,7699,0,0,1174,1133
22.886,0.995,75.124,0,0,0.995,0,0,84856,10271,0,0,1234,1191
41.912,3.431,51.961,0,0,2.696,0,106496,127044,463897,0,0,2186,1991
15.385,1.241,83.375,0,0,0,0,0,54409,7075,0,0,1058,1134
