Host:,dell01,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output 4W128B3R.log,,,,Date:,12 Jun 2015 13:11:24 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1.531,1.02,95.918,1.531,0,0,0,102400,0,0,0,0,936,1293
1.531,1.02,97.449,0,0,0,0,0,2108,436,0,0,1001,1317
2.01,2.01,95.98,0,0,0,0,0,0,64,0,0,889,1302
1.015,2.03,96.954,0,0,0,0,0,565,288,0,0,874,1330
1.531,1.02,97.449,0,0,0,0,0,2673,724,0,0,864,1262
0,1.036,97.927,1.036,0,0,0,102400,0,0,0,0,867,1257
1.523,1.523,96.954,0,0,0,0,0,565,288,0,0,876,1173
1.523,0.508,97.97,0,0,0,0,0,4495,794,0,0,740,1093
2.02,1.01,96.97,0,0,0,0,0,0,0,0,0,842,1194
1.01,1.515,97.475,0,0,0,0,0,0,0,0,0,806,1136
2.551,0.51,95.918,1.02,0,0,0,163840,2108,436,0,0,851,1214
1.515,1.515,96.97,0,0,0,0,0,0,0,0,0,780,1228
2.525,1.01,96.465,0,0,0,0,0,0,0,0,0,788,1183
1.523,1.523,96.954,0,0,0,0,0,2673,724,0,0,765,1201
1.523,1.523,96.954,0,0,0,0,0,1993,568,0,0,918,1282
1.036,0.518,95.855,2.591,0,0,0,692224,0,0,0,0,1003,1354
2.051,1.026,96.923,0,0,0,0,0,2673,724,0,0,1013,1362
1.523,1.015,97.462,0,0,0,0,0,2515,358,0,0,959,1273
2.564,0,97.436,0,0,0,0,0,0,0,0,0,915,1333
0.51,1.02,97.959,0,0,0.51,0,0,2108,436,0,0,879,1243
2.03,1.015,95.431,1.523,0,0,0,135168,0,0,0,0,755,1131
1.523,0.508,97.97,0,0,0,0,0,0,0,0,0,710,1130
1.523,1.523,96.954,0,0,0,0,0,2108,436,0,0,827,1261
1.531,1.02,97.449,0,0,0,0,0,565,288,0,0,946,1334
2.551,1.02,96.429,0,0,0,0,0,565,352,0,0,1010,1341
1.538,1.026,95.897,1.538,0,0,0,102400,2108,436,0,0,992,1327
4.061,1.523,94.416,0,0,0,0,0,565,288,0,0,964,1269
1.523,1.015,97.462,0,0,0,0,0,2387,358,0,0,786,1190
2.513,1.508,95.98,0,0,0,0,0,2108,436,0,0,791,1173
1.508,2.01,95.98,0,0,0.503,0,0,1428,280,0,0,819,1221
2.051,0,97.949,0,0,0,0,0,0,0,0,0,964,1326
1.015,1.015,95.939,1.523,0,0.508,0,102400,2108,436,0,0,864,1282
1.531,1.02,97.449,0,0,0,0,0,0,0,0,0,906,1322
1.026,1.026,97.949,0,0,0,0,0,565,288,0,0,833,1259
1.531,1.02,97.449,0,0,0,0,0,2673,724,0,0,881,1292
2.041,0.51,96.939,0,0,0.51,0,0,0,0,0,0,1006,1338
1.538,1.538,95.897,1.026,0,0,0,102400,565,288,0,0,873,1205
1.015,1.015,97.97,0,0,0,0,0,4623,794,0,0,773,1122
1.02,1.02,97.959,0,0,0,0,0,0,0,0,0,900,1282
1.02,1.02,97.959,0,0,0,0,0,0,0,0,0,858,1295
2.525,1.01,96.465,0,0,0,0,0,2108,436,0,0,895,1285
1.531,1.02,97.449,0,0,0,0,0,0,0,0,0,974,1477
2.03,1.015,95.431,1.523,0,0,0,98304,0,0,0,0,795,1180
10.553,1.005,88.442,0,0,0,0,0,2673,724,0,0,722,1285
3.046,0.508,96.447,0,0,0,0,0,1993,568,0,0,835,1165
2.577,0.515,96.907,0,0,0,0,61440,0,64,0,0,873,1298
1.538,0.513,97.949,0,0,0,0,0,2673,724,0,0,905,1296
0.51,0.51,96.939,1.531,0,0.51,0,114688,2387,358,0,0,840,1340
2.551,1.02,96.429,0,0,0,0,0,0,0,0,0,873,1320
0.51,1.531,97.959,0,0,0,0,0,2108,436,0,0,812,1307
1.031,1.031,97.938,0,0,0,0,552960,0,0,0,0,838,1280
1.523,1.015,97.462,0,0,0,0,0,0,0,0,0,754,1227
3.015,0.503,94.472,2.01,0,0,0,126976,2108,436,0,0,838,1213
1.026,1.026,97.949,0,0,0,0,0,565,288,0,0,844,1252
2.03,1.015,96.954,0,0,0,0,0,565,288,0,0,951,1294
0.518,1.036,98.446,0,0,0,0,57344,2108,436,0,0,963,1317
1.538,1.026,97.436,0,0,0,0,0,565,288,0,0,923,1353
1.523,1.015,95.431,2.03,0,0,0,102400,2515,358,0,0,886,1334
2.538,0,97.462,0,0,0,0,0,2108,436,0,0,806,1242
2.03,1.523,96.447,0,0,0,0,0,1428,344,0,0,736,1183
1.515,1.515,96.97,0,0,0,0,0,0,0,0,0,752,1173
0.515,1.031,98.454,0,0,0,0,0,2108,436,0,0,724,1303
2.03,1.015,96.954,0,0,0,0,0,64,0,0,0,884,1331
1.026,1.026,96.923,1.026,0,0,0,98304,565,288,0,0,786,1313
1.531,1.02,97.449,0,0,0,0,0,2673,724,0,0,784,1337
0.515,0.515,98.969,0,0,0,0,0,0,0,0,0,889,1302
1.523,1.523,96.954,0,0,0,0,0,565,288,0,0,863,1191
1.515,1.01,97.475,0,0,0,0,0,4495,794,0,0,705,1116
2,1,95,2,0,0,0,98304,0,0,0,0,748,1228
28.718,3.077,68.205,0,0,0,0,0,0,0,0,0,1403,1984
59.296,6.533,33.668,0,0,0.503,0,0,476221,1010345,0,0,1222,1527
55.779,2.513,41.709,0,0,0,0,0,0,0,0,0,1182,1524
43.434,1.01,55.051,0,0,0.505,0,77824,0,0,0,0,943,1604
11.168,5.076,82.234,1.015,0,0.508,0,217088,2673,724,0,0,985,1446
