Host:,dell01,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
6.533,1.005,90.955,1.508,0,0,24576,0,5380,49222,0,0,940,1248
2.041,0.51,97.449,0,0,0,0,65536,677,540,0,0,725,1042
1.538,0.513,97.949,0,0,0,0,0,0,0,0,0,718,1032
4.082,0.51,93.878,1.531,0,0,0,102400,527,110,0,0,741,1208
3,1.5,94,1,0,0.5,24576,0,1714,4097,0,0,843,1095
4.082,1.02,94.898,0,0,0,0,0,5740,3392,0,0,790,1196
13.333,3.077,83.59,0,0,0,4096,368640,7811,7931,0,0,1142,1751
3.077,1.026,95.897,0,0,0,0,0,5318,3068,0,0,847,1277
11.055,2.01,85.427,1.005,0,0.503,12288,77824,4350,2303,0,0,1088,1688
4.061,1.015,94.924,0,0,0,0,0,15786,86766,0,0,910,1277
4.061,1.015,94.924,0,0,0,0,0,5328,3002,0,0,947,1292
3.061,0.51,95.918,0,0,0.51,0,176128,3999,2175,0,0,829,1164
3.046,1.015,95.939,0,0,0,0,0,3193,1560,0,0,755,1127
4.082,0.51,95.408,0,0,0,0,98304,5502,3006,0,0,790,1194
4.545,2.02,92.929,0.505,0,0,0,4096,6183,4529,0,0,963,1471
4.569,1.015,94.416,0,0,0,0,0,6732,4405,0,0,804,1162
84.577,3.98,10.945,0,0,0.498,61440,0,344830,58201,0,0,2444,3752
4.545,1.01,94.444,0,0,0,0,0,410035,65246,0,0,836,1247
24.49,2.551,72.449,0,0,0.51,0,0,4696,2391,0,0,1433,2158
15,1.5,81,2,0,0.5,0,114688,372935,77579,0,0,1193,2020
11.558,1.005,87.437,0,0,0,0,0,2766,1556,0,0,744,1300
4.523,1.005,94.472,0,0,0,0,0,5036,2603,0,0,826,1144
6.154,0,93.846,0,0,0,0,0,4509,2493,0,0,777,1185
17.91,1.99,67.662,11.94,0,0.498,151552,0,3023,1520,102400,0,1359,2066
12.69,2.538,55.838,28.426,0,0.508,598016,102400,347971,69639,94208,0,1641,2575
6,1,93,0,0,0,0,0,4063,2297,0,0,849,1173
4.103,1.538,93.333,1.026,0,0,20480,4096,8023,4019,20480,0,951,1426
3.535,1.01,95.455,0,0,0,0,0,5704,3013,0,0,795,1198
18.408,1.99,78.109,0.995,0,0.498,12288,0,4339,2387,0,0,1398,1988
21.429,0.51,75,3.061,0,0,241664,122880,469633,98055,0,0,1467,2895
6.091,1.015,92.893,0,0,0,0,0,4456,2355,0,0,907,1206
3.061,0.51,96.429,0,0,0,0,61440,2666,1450,0,0,780,1108
3.518,0.503,95.98,0,0,0,0,0,2666,1450,0,0,788,1103
23.196,2.577,74.227,0,0,0,0,0,3193,1560,0,0,1461,2334
7.071,1.01,89.899,2.02,0,0,0,114688,317115,69196,0,0,967,1477
2.538,1.523,95.939,0,0,0,0,0,3999,2175,0,0,818,1119
3.046,1.523,95.431,0,0,0,0,24576,7217,3404,0,0,912,1313
3.518,1.005,93.97,1.005,0,0.503,4096,0,4743,2843,0,0,896,1301
20.305,3.553,76.142,0,0,0,0,0,3023,1520,0,0,1471,2130
12.06,1.508,85.93,0,0,0.503,0,98304,397431,72411,0,0,1209,1966
7.692,0,91.282,1.026,0,0,0,4096,3999,2175,0,0,922,1163
3.046,1.015,94.416,1.015,0,0.508,4096,606208,3999,2175,0,0,851,1147
3.535,1.515,94.949,0,0,0,0,0,5859,3010,0,0,827,1276
20.408,1.02,78.061,0,0,0.51,0,0,5332,2900,0,0,1510,2039
13.776,1.531,84.694,0,0,0,0,0,463447,83180,0,0,1252,2099
3.046,0,95.431,1.523,0,0,0,126976,5859,3010,0,0,744,1113
3.046,1.523,95.431,0,0,0,0,180224,3854,1738,0,0,985,1355
3.077,0,96.923,0,0,0,0,0,4063,2175,0,0,786,1211
16.583,1.508,80.905,0,0,1.005,0,0,4526,2285,0,0,1432,2045
10.256,1.026,88.205,0,0,0.513,0,0,410465,79486,0,0,1339,2095
3.571,0.51,93.878,2.041,0,0,0,114688,3999,2175,0,0,859,1244
2.041,1.531,96.429,0,0,0,0,12288,5859,3010,0,0,799,1120
5.051,0.505,94.444,0,0,0,0,0,3999,2175,0,0,807,1121
19.797,1.523,78.68,0,0,0,0,0,4356,2245,0,0,1316,1958
19.9,2.985,76.617,0,0,0.498,0,0,455971,95666,0,0,1599,2695
3.061,1.02,93.878,2.041,0,0,0,110592,3382,2050,0,0,774,1186
3.046,1.015,93.401,2.538,0,0,61440,0,7324,30378,0,0,865,2433
3.046,1.015,95.939,0,0,0,0,0,4696,2349,0,0,828,1195
26.02,1.531,71.939,0,0,0.51,0,0,3999,2175,0,0,1370,2167
7.614,2.538,89.848,0,0,0,0,0,370983,76160,0,0,1131,1772
3.59,0,94.872,1.538,0,0,0,110592,4526,2285,0,0,812,1217
5.584,0.508,91.878,1.523,0,0.508,0,860160,5332,2900,0,0,914,1122
3.03,1.01,95.96,0,0,0,0,0,3999,2175,0,0,873,1159
13.846,2.564,83.59,0,0,0,0,0,4696,2471,0,0,1480,2065
17.172,3.03,79.798,0,0,0,0,0,434527,108486,0,0,1272,3090
4.545,1.01,94.444,0,0,0,0,86016,4416,2542,0,0,836,1209
3.046,1.015,94.924,1.015,0,0,0,4096,7047,3298,0,0,858,1314
3.03,1.01,95.96,0,0,0,0,0,2730,1450,0,0,849,1175
15.152,3.03,80.808,0,0,1.01,0,0,4356,2245,0,0,1583,2343
7.96,1.99,90.05,0,0,0,0,0,385911,75343,0,0,1107,1715
3.061,0.51,96.429,0,0,0,0,0,3999,2175,0,0,826,1174
1.036,1.036,96.891,1.036,0,0,0,98304,3999,2175,0,0,867,1148
1.523,1.523,96.954,0,0,0,0,0,3193,1624,0,0,728,1126
15.897,1.538,82.051,0,0,0.513,0,0,5332,2900,0,0,1535,2276
8.586,2.02,89.394,0,0,0,0,0,436219,81706,0,0,1026,1728
4.02,1.005,94.975,0,0,0,0,0,4526,2391,0,0,868,1167
