sep=,
t,value
1434062768,0.16088234294544568
1434062770,0.18533355539495294
1434062772,0.1853475570678711
1434062774,0.18540300022472034
1434062776,0.18541132320057263
1434062778,0.18542198701338333
1434062780,0.18714475631713867
1434062782,0.18833932009610263
1434062784,0.193006385456432
1434062786,0.1931021430275657
1434062788,0.19312477111816406
1434062790,0.19314211065118964
1434062792,0.19314510172063654
1434062794,0.19315502860329367
1434062796,0.1940398649735884
1434062798,0.19408030943437057
1434062800,0.19413323835893112
1434062802,0.1941514015197754
1434062804,0.19417099519209427
1434062806,0.19419878179376776
1434062808,0.19423003630204635
1434062810,0.19426475871693005
1434062812,0.1942805376919833
1434062814,0.19433801824396307
1434062816,0.1944629062305797
1434062818,0.19569314609874378
1434062820,0.19577013362537732
1434062822,0.19640471718528055
1434062824,0.19642552462491122
1434062826,0.19743919372558594
1434062828,0.2110000957142223
1434062830,0.23318403417413885
1434062832,0.25544287941672583
