sep=,
t,value
1434060293,0
1434060295,0
1434060297,0
1434060299,0
1434060301,0
1434060303,0
1434060305,0
1434060307,0
1434060309,0
1434060311,0
1434060313,0
1434060315,0
1434060317,0
1434060319,0
1434060321,0
1434060323,0
1434060325,0
1434060327,0
1434060329,0
1434060331,0
1434060333,0
1434060335,0
1434060337,0
1434060339,0
1434060341,30
1434060343,86
1434060345,130
1434060347,130
1434060349,130
1434060351,130
1434060353,130
1434060355,130
1434060357,132
1434060359,132
